"tarih","istanbul_turkiye","issizlik_odenegi_basvuru","issizlik_odenegi_hakeden"
2007-01-01,İstanbul,6991,4098
2007-01-01,Türkiye,22244,19946
2007-02-01,İstanbul,8165,7088
2007-02-01,Türkiye,24321,21810
2007-03-01,Türkiye,21378,19038
2007-03-01,İstanbul,7864,6671
2007-04-01,Türkiye,20799,18700
2007-04-01,İstanbul,7194,6254
2007-05-01,Türkiye,21627,19519
2007-05-01,İstanbul,7554,6559
2007-06-01,İstanbul,6136,5275
2007-06-01,Türkiye,18390,16470
2007-07-01,Türkiye,19043,16916
2007-07-01,İstanbul,6880,5805
2007-08-01,İstanbul,5813,5027
2007-08-01,Türkiye,17765,15961
2007-09-01,İstanbul,6374,5067
2007-09-01,Türkiye,18286,15460
2007-10-01,Türkiye,18165,15110
2007-10-01,İstanbul,5674,4505
2007-11-01,Türkiye,20568,17544
2007-11-01,İstanbul,6470,5343
2007-12-01,İstanbul,5542,4426
2007-12-01,Türkiye,20230,16982
2008-01-01,İstanbul,6806,4929
2008-01-01,Türkiye,25661,19959
2008-02-01,İstanbul,8121,6484
2008-02-01,Türkiye,27014,22441
2008-03-01,Türkiye,27209,21999
2008-03-01,İstanbul,8509,6454
2008-04-01,Türkiye,23659,19368
2008-04-01,İstanbul,8596,6640
2008-05-01,Türkiye,23623,19321
2008-05-01,İstanbul,7527,5670
2008-06-01,İstanbul,7274,5799
2008-06-01,Türkiye,23158,19333
2008-07-01,İstanbul,7854,6260
2008-07-01,Türkiye,27437,22103
2008-08-01,Türkiye,29107,24960
2008-08-01,İstanbul,10936,8821
2008-09-01,Türkiye,25375,21459
2008-09-01,İstanbul,8405,6738
2008-10-01,Türkiye,28307,23150
2008-10-01,İstanbul,8514,6662
2008-11-01,İstanbul,11411,8742
2008-11-01,Türkiye,41776,34334
2008-12-01,Türkiye,60040,50030
2008-12-01,İstanbul,19187,15495
2009-01-01,Türkiye,78555,57211
2009-01-01,İstanbul,23720,14420
2009-02-01,Türkiye,38960,30707
2009-02-01,İstanbul,12009,8776
2009-03-01,Türkiye,62131,45535
2009-03-01,İstanbul,22014,14954
2009-04-01,İstanbul,18423,13008
2009-04-01,Türkiye,53391,38604
2009-05-01,Türkiye,44492,29975
2009-05-01,İstanbul,14521,9538
2009-06-01,İstanbul,14341,9063
2009-06-01,Türkiye,43774,30364
2009-07-01,Türkiye,44905,30609
2009-07-01,İstanbul,16076,9790
2009-08-01,İstanbul,12771,8280
2009-08-01,Türkiye,38430,25908
2009-09-01,Türkiye,40676,23693
2009-09-01,İstanbul,12699,6967
2009-10-01,İstanbul,13494,8422
2009-10-01,Türkiye,42221,27589
2009-11-01,İstanbul,10737,6044
2009-11-01,Türkiye,36979,23056
2009-12-01,İstanbul,10794,6726
2009-12-01,Türkiye,38010,25033
2010-01-01,İstanbul,14496,11291
2010-01-01,Türkiye,53128,41253
2010-02-01,İstanbul,12009,8776
2010-02-01,Türkiye,38960,30707
2010-03-01,Türkiye,37460,28138
2010-03-01,İstanbul,12626,9147
2010-04-01,İstanbul,10714,8027
2010-04-01,Türkiye,31229,23805
2010-05-01,Türkiye,28722,22290
2010-05-01,İstanbul,9541,7081
2010-06-01,Türkiye,34200,26284
2010-06-01,İstanbul,11176,8534
2010-07-01,İstanbul,11709,8568
2010-07-01,Türkiye,36385,27300
2010-08-01,İstanbul,11436,8204
2010-08-01,Türkiye,33012,24518
2010-09-01,Türkiye,28626,21503
2010-09-01,İstanbul,9808,7222
2010-10-01,İstanbul,10258,7078
2010-10-01,Türkiye,32044,22886
2010-11-01,Türkiye,35267,24377
2010-11-01,İstanbul,9818,6699
2010-12-01,Türkiye,38010,25033
2010-12-01,İstanbul,10794,6726
2011-01-01,İstanbul,14572,10374
2011-01-01,Türkiye,50107,36181
2011-02-01,Türkiye,33981,24627
2011-02-01,İstanbul,11346,7925
2011-03-01,İstanbul,12525,8578
2011-03-01,Türkiye,37023,26636
2011-04-01,İstanbul,11147,7808
2011-04-01,Türkiye,31393,23117
2011-05-01,Türkiye,30624,22504
2011-05-01,İstanbul,10567,7396
2011-06-01,İstanbul,11104,7725
2011-06-01,Türkiye,33196,24467
2011-07-01,Türkiye,37353,27515
2011-07-01,İstanbul,12550,8588
2011-08-01,İstanbul,11948,7448
2011-08-01,Türkiye,34929,23996
2011-09-01,İstanbul,12619,7729
2011-09-01,Türkiye,35478,24020
2011-10-01,İstanbul,12286,8171
2011-10-01,Türkiye,36223,25134
2011-11-01,İstanbul,10835,7099
2011-11-01,Türkiye,39536,26589
2011-12-01,Türkiye,41394,28623
2011-12-01,İstanbul,12080,7972
2012-01-01,Türkiye,61870,44626
2012-01-01,İstanbul,17675,12248
2012-02-01,İstanbul,13364,8719
2012-02-01,Türkiye,40336,27653
2012-03-01,Türkiye,38898,27094
2012-03-01,İstanbul,12995,8466
2012-04-01,Türkiye,35105,24528
2012-04-01,İstanbul,12078,7921
2012-05-01,İstanbul,12653,8284
2012-05-01,Türkiye,37193,26260
2012-06-01,Türkiye,42918,29583
2012-06-01,İstanbul,13885,8667
2012-07-01,İstanbul,15180,9541
2012-07-01,Türkiye,46340,32037
2012-08-01,İstanbul,13993,7078
2012-08-01,Türkiye,43149,22148
2012-09-01,Türkiye,45318,23906
2012-09-01,İstanbul,14982,7574
2012-10-01,Türkiye,49368,26589
2012-10-01,İstanbul,15183,7995
2012-11-01,İstanbul,15414,7506
2012-11-01,Türkiye,62622,30641
2012-12-01,Türkiye,63358,32801
2012-12-01,İstanbul,15501,7581
2013-01-01,Türkiye,83638,46318
2013-01-01,İstanbul,19953,10678
2013-02-01,İstanbul,16800,9998
2013-02-01,Türkiye,57486,34106
2013-03-01,İstanbul,17018,7918
2013-03-01,Türkiye,58697,28247
2013-04-01,İstanbul,15881,7950
2013-04-01,Türkiye,52117,27990
2013-05-01,İstanbul,16058,8637
2013-05-01,Türkiye,50672,27720
2013-06-01,Türkiye,58740,28325
2013-06-01,İstanbul,17207,8515
2013-07-01,İstanbul,22809,13178
2013-07-01,Türkiye,71602,41174
2013-08-01,Türkiye,46749,24626
2013-08-01,İstanbul,15120,8030
2013-09-01,İstanbul,24861,9213
2013-09-01,Türkiye,67439,28362
2013-10-01,İstanbul,15224,7740
2013-10-01,Türkiye,52450,25381
2013-11-01,İstanbul,17254,8360
2013-11-01,Türkiye,69992,33577
2013-12-01,Türkiye,73828,35124
2013-12-01,İstanbul,19153,8866
2014-01-01,İstanbul,22868,12048
2014-01-01,Türkiye,87150,46693
2014-02-01,Türkiye,63861,30964
2014-02-01,İstanbul,19105,9239
2014-03-01,Türkiye,60275,30509
2014-03-01,İstanbul,18494,9524
2014-04-01,Türkiye,64623,33634
2014-04-01,İstanbul,18511,9374
2014-05-01,Türkiye,61847,31654
2014-05-01,İstanbul,18828,9838
2014-06-01,İstanbul,22503,10918
2014-06-01,Türkiye,84828,41282
2014-07-01,Türkiye,83486,41936
2014-07-01,İstanbul,22988,11499
2014-08-01,Türkiye,67692,33293
2014-08-01,İstanbul,18950,9394
2014-09-01,Türkiye,73046,37536
2014-09-01,İstanbul,21631,11455
2014-10-01,İstanbul,19361,9124
2014-10-01,Türkiye,72590,32099
2014-11-01,İstanbul,20031,9206
2014-11-01,Türkiye,84109,36847
2014-12-01,İstanbul,23208,40405
2014-12-01,Türkiye,96288,42563
2015-01-01,İstanbul,26628,13734
2015-01-01,Türkiye,111384,57047
2015-02-01,Türkiye,81808,37223
2015-02-01,İstanbul,23531,11452
2015-03-01,İstanbul,23798,11955
2015-03-01,Türkiye,78348,38506
2015-04-01,Türkiye,76259,33906
2015-04-01,İstanbul,23779,10841
2015-05-01,İstanbul,22037,10215
2015-05-01,Türkiye,70705,31442
2015-06-01,İstanbul,30485,13377
2015-06-01,Türkiye,119422,50023
2015-07-01,İstanbul,27102,12969
2015-07-01,Türkiye,96552,45157
2015-08-01,Türkiye,78282,35312
2015-08-01,İstanbul,23460,11144
2015-09-01,İstanbul,22546,10455
2015-09-01,Türkiye,73414,32750
2015-10-01,Türkiye,84656,35408
2015-10-01,İstanbul,23019,10745
2015-11-01,Türkiye,104079,44813
2015-11-01,İstanbul,25749,12099
2015-12-01,İstanbul,26157,15019
2015-12-01,Türkiye,110361,58687
2016-01-01,İstanbul,34605,20097
2016-01-01,Türkiye,153744,81306
2016-02-01,Türkiye,120497,63249
2016-02-01,İstanbul,33294,18844
2016-03-01,Türkiye,112111,61404
2016-03-01,İstanbul,33306,19314
2016-04-01,İstanbul,30696,17489
2016-04-01,Türkiye,101520,54985
2016-05-01,İstanbul,30097,17258
2016-05-01,Türkiye,106071,56369
2016-06-01,Türkiye,136359,70740
2016-06-01,İstanbul,38483,21614
2016-07-01,Türkiye,139871,72483
2016-07-01,İstanbul,34304,19806
